UTS Longitude Latitude
1202260541 39.85156 116.69155
1202261140 39.85179 116.69154
1202261740 39.85167 116.69153
1202262340 39.85157 116.69151
1202263540 39.85173 116.69173
1202264141 39.85178 116.69164
1202264741 39.85172 116.69163
1202265340 39.85171 116.69164
1202266540 39.85178 116.69167
1202267140 39.85165 116.69165
1202267740 39.85169 116.69163
1202268340 39.85169 116.69162
1202268940 39.85171 116.69162
1202269540 39.85172 116.69162
1202270140 39.8516 116.69154
1202270739 39.85155 116.69159
1202271340 39.85165 116.69156
1202271940 39.85172 116.69157
1202272539 39.85175 116.6916
1202272539 39.85175 116.6916
1202273139 39.85175 116.69161
1202273739 39.85175 116.69162
1202274339 39.85175 116.69162
1202274940 39.85176 116.69161
1202275540 39.85174 116.69155
1202276139 39.85175 116.69151
1202276739 39.85173 116.69152
1202277339 39.8518 116.69136
1202277939 39.85164 116.6915
1202279139 39.85206 116.69135
1202279739 39.85181 116.69157
1202280339 39.85165 116.69155
1202280939 39.85167 116.69155
1202281539 39.85168 116.69155
1202282139 39.85169 116.69156
1202282739 39.8517 116.69158
1202283338 39.8517 116.69159
1202283938 39.85171 116.69159
1202284538 39.85181 116.69148
1202285138 39.85185 116.69159
1202285739 39.85183 116.69159
1202286339 39.85181 116.69159
1202286938 39.85182 116.69159
1202287538 39.85181 116.69159
1202288138 39.8518 116.69159
1202288738 39.85173 116.69155
1202289939 39.8516 116.69159
1202289939 39.8516 116.69159
1202290538 39.85158 116.69159
1202291138 39.85183 116.69158
1202291738 39.8517 116.69157
1202292938 39.90081 116.63319
1202293538 39.91361 116.5727
1202294137 39.91522 116.51523
1202306264 39.98849 116.47354
1202306863 39.99651 116.47272
1202307463 39.97043 116.47284
1202308063 39.91296 116.48347
1202308663 39.85721 116.42589
1202309263 39.84292 116.35883
1202309863 39.85573 116.41487
1202310463 39.86658 116.46671
1202311063 39.89127 116.48331
1202311663 39.89113 116.48332
1202312263 39.89111 116.48335
1202312263 39.89111 116.48335
1202312863 39.89959 116.48364
1202313463 39.91654 116.51238
1202325682 39.92152 116.51167
1202326281 39.93078 116.51127
1202326881 39.90692 116.50382
1202338892 39.85137 116.69158
1202339492 39.85188 116.69158
1202340091 39.85119 116.69175
1202340691 39.85173 116.6914
1202340691 39.85173 116.6914
1202341291 39.8515 116.69173
1202341891 39.85158 116.69165
1202342491 39.85155 116.69169
1202343091 39.85174 116.69177
1202343692 39.8518 116.69172
1202344292 39.85192 116.69182
1202344892 39.85205 116.69185
1202345491 39.85171 116.69158
1202346091 39.8516 116.6916
1202346691 39.8516 116.69163
1202347291 39.85131 116.69165
1202347891 39.85147 116.6915
1202348491 39.85151 116.69174
1202349090 39.85141 116.69165
1202350291 39.85202 116.69146
1202350891 39.85159 116.69108
1202351491 39.85105 116.69137
1202352090 39.85157 116.6916
1202352690 39.85156 116.69157
1202353290 39.85207 116.69168
1202353890 39.85168 116.69153
1202354491 39.85152 116.69156
1202355090 39.85147 116.6916
1202355690 39.85146 116.69162
1202356290 39.85165 116.69175
1202356890 39.85167 116.69163
1202358090 39.85184 116.69174
1202358090 39.85184 116.69174
1202358691 39.85154 116.69163
1202359290 39.8516 116.69179
1202359890 39.85217 116.69178
1202360490 39.85141 116.69172
1202361089 39.85138 116.6916
1202361690 39.85128 116.69223
1202362289 39.85197 116.69164
1202362890 39.85198 116.69163
1202364090 39.85148 116.69172
1202364689 39.85144 116.69176
1202365289 39.85133 116.69152
1202365889 39.85111 116.69164
1202366489 39.85143 116.69164
1202367090 39.85136 116.69162
1202367690 39.85172 116.69173
1202368289 39.85186 116.69179
1202368889 39.8514 116.69164
1202369489 39.85141 116.69164
1202370089 39.85172 116.69171
1202370689 39.85152 116.69165
1202371289 39.85156 116.69164
1202371889 39.85192 116.69153
1202372489 39.85129 116.69167
1202373689 39.85178 116.69159
1202374289 39.85178 116.69159
1202374889 39.85273 116.69157
1202375488 39.85156 116.69172
1202375488 39.85156 116.69172
1202376088 39.85125 116.69147
1202376688 39.85177 116.69165
1202377288 39.85172 116.69169
1202377889 39.85172 116.69171
1202379088 39.85153 116.69164
1202379688 39.8516 116.69163
1202380288 39.85157 116.6916
1202380888 39.85139 116.69185
1202381488 39.88501 116.66018
1202382088 39.90824 116.59778
1202382335 39.91294 116.57738
1202382688 39.91508 116.53903
1202394875 39.93235 116.48572
1202395475 39.91661 116.51471
1202407494 39.94303 116.48366
1202408692 39.91423 116.4847
1202409292 39.91134 116.51731
1202409892 39.91402 116.56668
1202410492 39.90733 116.6014
1202411093 39.88832 116.65535
1202411693 39.85197 116.69152
1202412292 39.85179 116.69156
1202412892 39.85168 116.69181
1202412892 39.85168 116.69181
1202413492 39.85168 116.69179
1202414092 39.85199 116.69171
1202414693 39.85189 116.69156
1202415293 39.85191 116.69158
1202415892 39.85189 116.69158
1202416492 39.85171 116.6916
1202417092 39.85166 116.69164
1202417692 39.85167 116.69161
1202418292 39.85169 116.69159
1202418892 39.85149 116.69167
1202419492 39.85154 116.69166
1202420092 39.8518 116.69168
1202420692 39.85181 116.6917
1202421292 39.85181 116.69163
1202421892 39.85175 116.69152
1202422492 39.85173 116.69155
1202423692 39.85164 116.69136
1202424292 39.85171 116.69141
1202424891 39.8515 116.69173
1202425491 39.85172 116.6916
1202426091 39.85179 116.69156
1202426691 39.85184 116.69159
1202427292 39.85154 116.6916
1202427892 39.85152 116.6916
1202428491 39.85151 116.6916
1202429091 39.85156 116.6916
1202429691 39.85201 116.69187
1202430291 39.85167 116.69152
1202430291 39.85167 116.69152
1202430891 39.85161 116.69152
1202431491 39.85166 116.6915
1202432091 39.8516 116.69152
1202432691 39.85159 116.69152
1202433290 39.8516 116.69152
1202433891 39.85161 116.69151
1202434491 39.85161 116.69152
1202435091 39.85161 116.69151
1202435691 39.8518 116.69161
1202437490 39.85176 116.69173
1202439291 39.8516 116.69158
1202439291 39.8516 116.69158
1202439890 39.85177 116.69157
1202440490 39.8517 116.69156
1202441090 39.85169 116.69156
1202441691 39.8517 116.69155
1202442291 39.85136 116.69163
1202442890 39.85165 116.69153
1202443490 39.85169 116.69157
1202444090 39.85177 116.69177
1202444690 39.85179 116.69173
1202445290 39.8514 116.69165
1202445890 39.85147 116.69163
1202446489 39.85076 116.69169
1202447089 39.85102 116.69184
1202447689 39.85177 116.69102
1202448289 39.85165 116.69137
1202448890 39.85175 116.69145
1202449490 39.85187 116.69171
1202450089 39.85178 116.69163
1202450689 39.85176 116.6916
1202451289 39.8519 116.69137
1202451889 39.8517 116.69147
1202452490 39.85143 116.69152
1202453089 39.85161 116.6915
1202453689 39.85164 116.69152
1202454289 39.85165 116.69154
1202454889 39.85161 116.69149
1202455489 39.85164 116.69162
1202456089 39.85159 116.69159
1202456689 39.85165 116.69158
1202456689 39.85165 116.69158
1202457288 39.85169 116.69163
1202457888 39.85173 116.69154
1202458488 39.85175 116.69154
1202459088 39.85167 116.69159
1202459689 39.85141 116.69163
1202460289 39.85161 116.69162
1202460888 39.85161 116.6916
1202461488 39.85188 116.69154
1202462088 39.85197 116.69158
1202462688 39.85187 116.69158
1202463289 39.85183 116.69159
1202463889 39.85147 116.69162
1202464488 39.85158 116.69156
1202465088 39.85164 116.69155
1202465688 39.85165 116.69153
1202466288 39.85166 116.69153
1202466888 39.88372 116.66179
1202467488 39.90741 116.60394
1202468088 39.91474 116.54559
1202480491 39.916 116.52195
1202481091 39.91422 116.48503
1202481692 39.92156 116.4446
1202482292 39.92594 116.40047
1202482891 39.93236 116.44152
1202483491 39.91954 116.48347
1202484091 39.93128 116.50789
1202484691 39.91536 116.53174
1202485291 39.90263 116.57156
1202485891 39.90841 116.54723
